,unique_top_genre
0,absolute music
1,afro
2,afro-peruvian music
3,album-oriented rock
4,argentine punk
5,asian american hip hop
6,autonomous music
7,azonto
8,balkan beats
9,balkan brass
10,banjo music
11,bardcore
12,bass
13,beatboxing
14,belgian jazz
15,boogie-woogie
16,breaks
17,british invasion
18,british soul
19,canadian country music
20,canzone
21,canzone napoletana
22,catalan rock
23,chicano rap
24,choro
25,classic country
26,classic rock
27,contemporary commercial music
28,contemporary music
29,country rap
30,coupé-décalé
31,croatian hip hop
32,croatian rock
33,cumbia villera
34,cyberpunk music
35,czech rock
36,dance
37,dansktop
38,dembow
39,depressive black metal
40,desi hip hop
41,digital hardcore
42,dutch punk
43,düsseldorf school of electronic music
44,dōjin music
45,early reggae
46,emo rock
47,forró pé de serra
48,funky
49,german techno
50,glam
51,gothic doom metal
52,greek new wave
53,gypsy punk
54,hamburger schule
55,hauntology
56,hip hop galsen
57,hiplife
58,honky-tonk
59,indorock
60,israeli punk
61,italian occult psychedelia
62,italo dance
63,jazz blues
64,jig
65,jovem guarda
66,kizomba
67,kora music
68,latin metal
69,livetronica
70,manele
71,mashup
72,memphis blues
73,merengue típico
74,modern rock
75,moroccan pop
76,musical modernism
77,neo music
78,neon pop-punk
79,neotraditional country
80,neue deutsche todeskunst
81,neue volksmusik
82,new orleans jazz
83,new wave of traditional heavy metal
84,new weird america
85,nu gaze
86,opera metal
87,orchestra
88,outsider music
89,palm desert scene
90,polyphony
91,popular music
92,pornogrind
93,progressive music
94,punk music
95,regional music
96,salon music
97,sasscore
98,scottish hip-hop
99,sega music
100,siciliana
101,ska jazz
102,sleaze rock
103,soul blues
104,sound art
105,steampunk music
106,stomp and flutter
107,straight-ahead jazz
108,street music
109,string orchestra
110,swing revival
111,tango canción
112,tarantella
113,tech trance
114,timba
115,turbo-folk
116,twoubadou
117,ukrainian rock
118,urban contemporary
119,v-pop
120,vietnamese bolero
121,volkstümliche musik
122,women's music
123,world fusion music
124,xhosa music
125,yacht rock
126,youth music
127,zouglou
